mph,alpha,beta,seq,baro,oat,dp0,dpA,dpB
73,0,20,33600,101282.15625,15.8125,624.453735,72.290039,-773.538208
73,0,20,33601,101278.265625,15.8125,661.074829,-40.319824,-491.555786
73,0,20,33602,101287.945312,15.875,696.780396,-21.09375,-645.36438
73,0,20,33603,101289.40625,15.875,727.908325,-198.706055,-718.606567
73,0,20,33604,101289.109375,15.875,638.186646,-0.036621,-731.42395
73,0,20,33605,101285.984375,15.875,638.186646,173.913574,-657.266235
73,0,20,33606,101288.15625,15.875,640.933228,-19.262695,-730.508423
73,0,20,33607,101284.578125,15.875,629.946899,-0.036621,-672.8302
73,0,20,33608,101281.398438,15.875,600.650024,64.050293,-636.209106
73,0,20,33609,101280.34375,15.875,635.440063,-50.390625,-614.23645
73,0,20,33610,101283.265625,15.875,632.693481,73.205566,-714.944458
73,0,20,33611,101279.8125,15.875,640.933228,-26.586914,-731.42395
73,0,20,33612,101279.375,15.875,635.440063,-22.009277,-645.36438
73,0,20,33613,101279.90625,15.875,584.170532,-31.164551,-697.549438
73,0,20,33614,101278.78125,15.875,652.835083,-15.600586,-569.37561
73,0,20,33615,101282.96875,15.875,564.944458,1.794434,-670.999146
73,0,20,33616,101281.804688,15.875,505.435181,46.655273,-561.135864
73,0,20,33617,101284.8125,15.875,553.042603,69.543457,-524.514771
73,0,20,33618,101289.851562,15.875,669.314575,43.908691,-645.36438
73,0,20,33619,101290.8125,15.875,674.807739,-50.390625,-803.75061
73,0,20,33620,101284.984375,15.875,666.567993,16.442871,-806.497192
73,0,20,33621,101280.257812,15.875,595.15686,53.979492,-675.576782
73,0,20,33622,101278.351562,15.875,638.186646,41.162109,-697.549438
73,0,20,33623,101281.039062,15.875,705.935669,-99.829102,-776.28479
73,0,20,33624,101276.265625,15.875,640.933228,131.799316,-699.380493
73,0,20,33625,101276.3125,15.875,658.328247,-0.952148,-736.001587
73,0,20,33626,101281.1875,15.875,759.951782,-70.532227,-742.410278
73,0,20,33627,101285.0,15.875,719.668579,-120.88623,-821.14563
73,0,20,33628,101282.328125,15.875,663.821411,99.755859,-808.328247
73,0,20,33629,101277.320312,15.875,731.570435,90.600586,-754.312134
73,0,20,33630,101277.65625,15.875,703.189087,-28.417969,-723.184204
73,0,20,33631,101279.1875,15.875,742.556763,8.203125,-646.279907
73,0,20,33632,101287.390625,15.875,688.540649,13.696289,-754.312134
73,0,20,33633,101287.039062,15.875,666.567993,18.273926,-667.337036
73,0,20,33634,101291.1875,15.875,646.426392,21.020508,-705.789185
73,0,20,33635,101290.742188,15.875,727.908325,-96.166992,-819.314575
73,0,20,33636,101287.757812,15.875,837.771606,-112.646484,-942.910767
73,0,20,33637,101282.757812,15.875,876.223755,-43.066406,-970.376587
73,0,20,33638,101275.289062,15.875,865.237427,-152.01416,-949.319458
73,0,30,33712,101207.492188,15.9375,573.184204,107.080078,-931.008911
73,0,30,33713,101208.734375,15.9375,442.263794,133.630371,-806.497192
73,0,30,33714,101200.828125,15.9375,462.405396,122.644043,-864.175415
73,0,30,33715,101205.820312,15.9375,629.946899,-10.107422,-900.796509
73,0,30,33716,101210.703125,15.9375,459.658813,51.23291,-834.87854
73,0,30,33717,101205.03125,15.9375,604.312134,-65.95459,-916.360474
73,0,30,33718,101199.039062,15.9375,683.047485,-39.404297,-1041.78772
73,0,30,33719,101195.40625,15.9375,615.298462,13.696289,-1017.068481
73,0,30,33720,101185.992188,15.875,708.682251,93.347168,-1136.087036
73,0,30,33721,101183.757812,15.875,527.407837,147.363281,-900.796509
73,0,30,33722,101173.71875,15.875,412.051392,192.224121,-1029.885864
73,0,30,33723,101163.46875,15.875,468.814087,75.952148,-882.485962
73,0,30,33724,101158.117188,15.875,553.042603,85.107422,-803.75061
73,0,30,33725,101168.703125,15.875,530.154419,39.331055,-839.456177
73,0,30,33726,101181.304688,15.875,530.154419,62.219238,-768.045044
73,0,30,33727,101183.5,15.875,527.407837,64.96582,-803.75061
73,0,30,33728,101186.023438,15.875,547.549438,-50.390625,-959.390259
73,0,30,33729,101180.289062,15.875,532.901001,39.331055,-1176.370239
73,0,30,33730,101159.070312,15.875,629.946899,7.287598,-962.136841
73,0,30,33731,101153.90625,15.875,483.462524,21.020508,-830.300903
73,0,30,33732,101156.71875,15.875,621.707153,87.854004,-996.011353
73,0,30,33733,101170.71875,15.875,510.928345,115.319824,-813.821411
73,0,30,33734,101183.617188,15.875,597.903442,-138.28125,-855.935669
73,0,30,33735,101195.742188,15.875,564.944458,-5.529785,-866.00647
73,0,30,33736,101204.625,15.875,521.914673,-22.009277,-886.148071
73,0,30,33737,101201.257812,15.875,581.42395,107.080078,-1019.815063
73,0,30,33738,101186.796875,15.875,624.453735,96.09375,-1090.310669
73,0,30,33739,101180.578125,15.875,392.825317,126.306152,-868.753052
